feature,pvalue,top_median,bottom_median,top_n,bottom_n,padj,significant,direction
nardini_Frac Aliphatic_raw,0.3282069304106531,0.280898876,0.33106238050000003,209,52,0.4030752118200891,False,Bottom > Top
nardini_Frac Aliphatic_zscore,0.3282069304106531,1.783058869,2.7272357874999997,209,52,0.4030752118200891,False,Bottom > Top
nardini_Frac Q_raw,0.32939479675620187,0.010989011,0.016393443,209,52,0.4030752118200891,False,Bottom > Top
nardini_Frac K+R_raw,0.3697849383944992,0.208791209,0.1940600385,209,52,0.44533314210932295,False,Top > Bottom
avg_nes,0.37350521596265795,0.012831282,0.015789023,209,52,0.44533314210932295,False,Bottom > Top
nardini_PPII_raw,0.42433880273202207,0.370769231,0.37346153849999997,209,52,0.49329385817597565,False,Bottom > Top
nardini_PPII_zscore,0.42433880273202207,-0.135412079,-0.068998769,209,52,0.49329385817597565,False,Bottom > Top
nardini_Frac N_zscore,0.45632180825356383,-0.84772714,-0.74950711,128,45,0.5239250391059437,False,Bottom > Top
nardini_Frac Q_zscore,0.46566625623286073,-0.349795416,-0.645024719,146,43,0.5279206982377735,False,Top > Bottom
nardini_Frac Y_zscore,0.4711550317605936,0.895389674,0.542448679,101,20,0.5279206982377735,False,Top > Bottom
nardini_Frac H_zscore,0.5382680141702556,-0.063180565,-0.388596689,78,41,0.5959395871170687,False,Top > Bottom
nardini_Frac W_zscore,0.5501205297362031,1.279418162,1.279418162,49,9,0.6018965795937281,False,Bottom > Top
nardini_Frac Aromatic_raw,0.575176877220263,0.021978022,0.035873962,209,52,0.621993599784703,False,Bottom > Top
nardini_Frac E_raw,0.5845310791270951,0.076923077,0.065934066,209,52,0.6248435673427569,False,Top > Bottom
nardini_A Patch_zscore,0.7912508890658154,4.4642109705,5.166488074,148,10,0.8362083259445549,False,Bottom > Top
nardini_Frac E_zscore,0.9181655345829547,-0.057053826,-0.1013799,189,50,0.9525895983731753,False,Top > Bottom
nardini_Frac G_zscore,0.9276348405600124,-0.391163527,0.3630609905,208,52,0.9525895983731753,False,Bottom > Top
cider_omega,0.9321038005586983,0.126748023,0.134510408,209,52,0.9525895983731753,False,Bottom > Top
nardini_Frac G_raw,0.9709835619801751,0.032967033,0.0644355645,209,52,0.9815377311321335,False,Bottom > Top
nardini_Frac T_raw,0.9917777934784452,0.077922078,0.07192807200000001,209,52,0.9917777934784452,False,Top > Bottom
