base_origin,feature,r_mean,r_std,r_full,slope_mean,slope_std,p_value,bootstrap_p,n_samples,mean_pooled_se,p_adj,neg_log10_padj,bootstrap_p_adj,neg_log10_bootstrap_padj
Os_LEA_or6,nardini_Frac Polar_raw,-0.3135547331303927,0.15289849633992666,-0.3270192747936951,-0.4264724774614461,0.3329652256037399,0.02833191629627593,0.056,45,0.05932986875165715,0.11400763117621433,0.9430660779021283,0.1896835016835017,0.7219704415911034
Os_LEA_or6,nardini_Frac Aliphatic_raw,0.39442016950349384,0.1835438449687014,0.4084909675247085,1.7438721041729028,1.8534098099478777,0.020279609700780153,0.042,32,0.052068740789951135,0.0894793305218633,1.0482772739244044,0.15533823529411764,0.8087216329163897
Os_LEA_or6,nardini_Frac Aromatic_raw,-0.18894002816117203,0.08025635286728217,-0.15486069947657036,-7.263944558033972,1.8679017372396125,0.43136982934916435,0.009538950715421303,28,0.05120024107035846,0.6510535476899535,0.18638329021846803,0.052395833333333336,1.280703247983641
Os_LEA_or6,nardini_R/K Ratio_raw,-0.16291609894193534,0.10373521330413996,-0.16875777980599466,-0.07590743271444057,0.042643440469019446,0.07396781924162979,0.132,113,0.08271615413927158,0.22686471389353527,0.6442330482007417,0.3378931297709924,0.4712206384496682
Os_LEA_or6,nardini_E/D Ratio_raw,-0.07541325853000748,0.13110824260368528,-0.0731125378597155,-0.16383155116425585,0.11583567023351987,0.5787866800669665,0.586,60,0.06955949813955402,0.7591387224867905,0.11967885532246526,0.7616485788113694,0.11824536394489342
Os_LEA_or6,nardini_Frac Chain Expanding_raw,0.26298336290340124,0.22312755812823157,0.2609109550020922,0.45286980604265215,0.39168795306967125,0.28063134967928,0.224,19,0.07643663568710816,0.5161154255527526,0.2872531606310226,0.4627186858316222,0.3346829621605629
Os_LEA_or6,nardini_FCR_raw,-0.10238957198712857,0.3004659908756833,-0.10840946749929749,-0.05989375962289039,0.3506888428750934,0.7122001472444883,0.708,14,0.08483410972550029,0.838961765957793,0.0762578308422318,0.8379388235294117,0.07678768730461513
Os_LEA_or6,nardini_NCPR_raw,-0.16734867054321123,0.36046283051122674,-0.19614741113473694,-0.37509822380423735,0.5134833020359832,0.5412137259515317,0.636,12,0.10276080341570216,0.7357581193341094,0.13326493661870947,0.79977,0.09703489062362113
Os_LEA_or6,nardini_Disorder Promoting_raw,0.41480317786750537,0.14840149943808134,0.41697748761442827,0.6709754296080509,0.27776596883547006,0.006011815592874525,0.004,42,0.059654088327263155,0.03516213073506844,1.4539248156675308,0.026300653594771243,1.5800334587697278
Os_LEA_or6,nardini_Iso point_raw,-0.23100719199214353,0.38099164183201434,-0.28484848484848485,-0.01634182424085432,0.03248625509612874,0.42503815489214547,0.528,10,0.1067962794035594,0.6468810647829022,0.189175561149904,0.7218493539374891,0.14155342788754996
Os_LEA_or6,nardini_PPII_raw,0.36826693931099636,0.22909415166552838,0.39488532314948566,5.07193637168819,3.132290926123035,0.08486945422395166,0.122,20,0.050847932459039166,0.2533491719563661,0.5962805108142758,0.32128795811518324,0.49310555151705193
Os_LEA_or6,nardini_A Patch_raw,0.2920967269833936,0.10430116947586539,0.298159360268699,0.5192405205626444,0.1637983654798036,0.006514855138139414,0.006,82,0.08370775399220921,0.037238319710046874,1.429009923746503,0.034101694915254235,1.4672240352582544
Os_LEA_or6,nardini_E Patch_raw,0.018255563282795716,0.22876523469910778,0.01972570181490323,0.7193449910407608,1.100340377129573,0.9254365251276453,0.922,25,0.09343534041912958,0.9728204224434809,0.011967320820710363,0.9702217573221757,0.013128990502562136
Os_LEA_or6,nardini_K Patch_raw,-0.035989388725756175,0.16128995809374216,-0.03511242928965757,-0.3660641993740723,1.8718417904094575,0.8342284989639327,0.802,38,0.06584908215513757,0.9283560508381817,0.032285427598120454,0.903713966480447,0.04396900584755209
Os_LEA_or6,nardini_R Patch_raw,0.07707502875342931,0.4008282279983905,0.09847319278346618,-1.1829836927514679,3.2039601878370125,0.7866665909815012,0.872,10,0.10507789161249556,0.8951880649474585,0.04808571665174958,0.941236051502146,0.026301446701505533
Os_LEA_or6,nardini_S Patch_raw,0.5478422990503087,0.25188318767574414,0.6031483057987304,1.6436042344750919,1.2317308772963274,0.06489858621670086,0.07,10,0.049646587064553466,0.20792349596815626,0.6820964313383485,0.21937694704049845,0.6588090116707066
Os_LEA_or6,nardini_Frac A_zscore,0.40710346700002265,0.12783986161785196,0.4123465590156672,0.056972297528914265,0.019627903572136517,0.0023847190338117785,0.004,52,0.06004476331551704,0.01753763835418552,1.7560288898069303,0.026300653594771243,1.5800334587697278
Os_LEA_or6,nardini_Frac D_zscore,-0.024147430430073013,0.10310068097232282,-0.02839702568933202,-0.0075660181224529435,0.03371513060843662,0.7704889184834409,0.826,108,0.0838800831747677,0.8814258371362572,0.05481422321429568,0.9151497797356828,0.03850782048079432
Os_LEA_or6,nardini_Frac E_zscore,0.036109581745524984,0.1401814264929158,0.04139781233819911,-0.009466420683524794,0.05822681642313107,0.7534791104433071,0.772,60,0.07304816684119238,0.8682703151271098,0.06134504660702075,0.8815346197502838,0.054760627356403156
Os_LEA_or6,nardini_Frac F_zscore,-0.07637631311904704,0.11213401991318364,-0.08241719892625816,-0.06265858491006741,0.1132031870580032,0.4533297044318664,0.504,85,0.09331632775365375,0.6679773003330114,0.1752382957693926,0.7091244755244756,0.14927752463564672
Os_LEA_or6,nardini_Frac G_zscore,0.011213093738836001,0.18409283283653952,0.009248662510270057,-0.009468380309560938,0.08193069948103818,0.9613134282889599,0.932,30,0.0506882225440766,0.9888356941295436,0.004875865188401373,0.9718807810894141,0.01238700594874469
Os_LEA_or6,nardini_Frac K_zscore,0.37260171506605666,0.11700028449399637,0.3790059073473114,0.09179614832853512,0.0312881410319463,0.0025941451986791464,0.006,61,0.0729128044761361,0.018640786213365866,1.7295357743358113,0.034101694915254235,1.4672240352582544
Os_LEA_or6,nardini_Frac L_zscore,-0.07051427902244006,0.11965196063423929,-0.06829100436121437,-0.02527836572195767,0.04720500803199829,0.5321236220579294,0.58,86,0.09298553586990731,0.7268855983007042,0.13853393568333816,0.7597395833333334,0.11933524574866611
Os_LEA_or6,nardini_Frac M_zscore,-0.34480247527592023,0.12281351124929579,-0.3464912409442428,-0.09782483864371086,0.03555716858540153,0.008896531148263179,0.006,56,0.06963132901663381,0.04760590603804658,1.3223391649135157,0.034101694915254235,1.4672240352582544
Os_LEA_or6,nardini_Frac P_zscore,0.1287480382065141,0.10452588459789607,0.12872975697757083,0.29553880676890465,0.12189484013177428,0.1761515673121328,0.228,112,0.0830647177336087,0.40001913479910967,0.3979192338247727,0.463369696969697,0.3340723712132063
Os_LEA_or6,nardini_Frac Q_zscore,-0.13621047896681449,0.13533042313457108,-0.1383806186026821,-0.0202717926141451,0.04408035720349344,0.24636019110358684,0.318,72,0.09710087036323192,0.4869122833992306,0.3125492693127711,0.5563617391304347,0.25464274398528924
Os_LEA_or6,nardini_Frac R_zscore,-0.164597497059632,0.1964038465177253,-0.16746722443808837,-0.06111639378768063,0.049058422126620316,0.3595934252727495,0.392,32,0.09322053174049849,0.5891709866846677,0.22975864783244895,0.6229889415481833,0.20551966227698923
Os_LEA_or6,nardini_Frac S_zscore,0.034174386045917854,0.09908554794735445,0.02982873409507205,0.023328539554131802,0.033965215833853736,0.759261731541594,0.73,108,0.08289458566799361,0.8726532806066679,0.059158274311548444,0.8499768518518519,0.07059290163852877
Os_LEA_or6,nardini_Frac T_zscore,-0.12010146466004057,0.10956590448410783,-0.12310233499851884,-0.14301879976452797,0.08779266261790898,0.24237754058900682,0.294,92,0.0896077256054783,0.4843374230144464,0.31485197328101855,0.5358043478260869,0.2709937665971331
Os_LEA_or6,nardini_Frac V_zscore,-0.06003496462727071,0.15265636282693587,-0.05469222554054727,-0.039982234175267146,0.04367557036737613,0.6973039499698527,0.692,53,0.06992857592274054,0.8289895480446193,0.081450945028933,0.8277669441141497,0.08209192062124582
