base_origin,feature,r_mean,r_std,slope_mean,slope_std,p_value,bootstrap_p,n_samples,mean_calculated_std,p_adj,neg_log10_padj,bootstrap_p_adj,neg_log10_bootstrap_padj
Os_LEA_or6,nardini_R/K Ratio_zscore,-0.40371249324865693,0.10471984818283886,-0.07874945820801185,0.02100252879482815,0.0012033519951737451,0.004,59,0.16576231059322036,0.010357422529888307,1.9847483063973101,0.0241,1.6179829574251317
Os_LEA_or6,nardini_E/D Ratio_zscore,-0.09002458983300514,0.14051043577279806,-0.06568740766395964,0.046718775673358984,0.4994101293906572,0.526,56,0.1779374680535714,0.7024402057243893,0.15339063858185056,0.7274949784791966,0.13817000004143953
Os_LEA_or6,nardini_Frac Chain Expanding_zscore,0.3859526218894056,0.16208505810642873,0.06420704524903129,0.04633535166987645,0.01812786376658411,0.034,37,0.1630790995405406,0.07871739040985172,1.1039293117996183,0.1295494071146245,0.887564570230732
Os_LEA_or6,nardini_FCR_zscore,0.3186591171551622,0.27070813202931243,0.07875145279299377,0.05918650126610283,0.2713644311619173,0.242,13,0.17881828215384615,0.4926465379286031,0.30746456486610746,0.4712888888888889,0.32671279905030665
Os_LEA_or6,nardini_Hydrophobicity_zscore,0.13136750893651994,0.14107561439004274,0.10659766030487182,0.2648956782287505,0.33405971842569826,0.368,55,0.17969712250909095,0.5615689305204454,0.25059692808050527,0.5873377483443708,0.23111208604478345
Os_LEA_or6,nardini_Disorder Promoting_zscore,0.3791187395540223,0.10720498624526605,0.06324126348747816,0.020057214727261335,0.0013895972880824555,0.001,66,0.15733815460606063,0.011750629699223572,1.9299388595564693,0.008844036697247707,2.053349464037793
Os_LEA_or6,nardini_Iso point_zscore,-0.0885724689860327,0.11927947897377453,-0.06658102953233563,0.153643760906454,0.33932997856944214,0.454,112,0.1760125498839286,0.5652767989265095,0.24773883924352308,0.6661430745814307,0.17643248279984608
Os_LEA_or6,nardini_PPII_zscore,0.31517317420364155,0.09619211119180496,0.16488285775258985,0.06012469513519503,0.0007314711112129101,0.004,112,0.1760125498839286,0.007122607587972176,2.147360981960758,0.0241,1.6179829574251317
Os_LEA_or6,nardini_A Patch_zscore,0.40358327021349544,0.10846013928005353,0.029788424684313308,0.009000635070523618,0.0014970235527018544,0.001,57,0.16496610505263157,0.012548962650474674,1.901392173290104,0.008844036697247707,2.053349464037793
Os_LEA_or6,cider_kappa,-0.014841304939011604,0.13573428390178952,-0.02707230527338609,0.15172277086623157,0.8738009058009923,0.908,67,0.20841268689552242,0.9317965411417661,0.030678905999659497,0.9422088266953714,0.02585283156972585
Os_LEA_or6,cider_omega,-0.07737679731909991,0.11904019241581149,-0.08416738327581527,0.17135870200841194,0.4873080643317509,0.522,81,0.19548284032098767,0.6928686932386546,0.1593490614994161,0.7250835734870318,0.13961193354976192
Os_LEA_or6,cider_delta,0.05996081088983332,0.13192986397253254,0.1978159792049588,0.6049327390501485,0.6185709749815915,0.66,66,0.20175688465151514,0.7823527360254796,0.1065973942932359,0.8156923076923077,0.08847363324578095
Os_LEA_or6,cider_mean_net_charge,-0.11897430794809577,0.3885091465877236,-0.09962582473798502,1.1008934842125515,0.6959060149330825,0.746,11,0.27941782445454544,0.8417232100319844,0.07483069723916695,0.870634382566586,0.060164185944882626
Os_LEA_or6,cider_fraction_neutral,0.05224503208836275,0.305013375686415,-0.10506573974695908,0.47303357863329376,0.871488692264814,0.86,13,0.19815160276923077,0.9303600214211303,0.031348959983428216,0.923207126948775,0.03470085152090588
Os_LEA_or6,sparrow_SCD,-0.08883969703629516,0.09901818688479154,-0.004654738658286062,0.006146512647015216,0.36770354257647364,0.364,112,0.1760125498839286,0.5878378358934007,0.2307424642128887,0.5848266666666666,0.2329728328317569
Os_LEA_or6,sparrow_SHD,0.000823749425529428,0.34405921861846284,-0.023297721408997503,1.069227607207454,0.9431862416608072,0.954,13,0.1824040056153846,0.964190389142119,0.015837201792388036,0.9721522198731501,0.012265727794866853
