base_origin,feature,r_mean,r_std,r_full,slope_mean,slope_std,p_value,bootstrap_p,n_samples,mean_pooled_se,p_adj,bootstrap_p_adj
A0A438HAK2,nardini_NCPR_zscore,-0.07189228927208918,0.14709541684720756,-0.07198631802208229,-0.05519634869187839,0.06486486462036842,0.6632040974675342,0.656,39,0.21236339315523095,0.8194492674320261,0.8087450980392157
A0A438HAK2,nardini_Hydrophobicity_zscore,0.0007115245997354743,0.07855687281892393,-0.0012598919227907145,-0.058566386746547516,0.046287372187767135,0.9860534268800687,0.986,195,0.14849823660373593,0.9890027392236781,0.9879641434262948
A0A438HAK2,nardini_Disorder Promoting_zscore,0.33096017958300045,0.05695723897302295,0.3314908426989615,0.07870698821612072,0.01742014498162207,1.6761279074966985e-08,0.001,276,0.14336149924750743,2.001503041005449e-06,0.008824561403508771
A0A438HAK2,nardini_Iso point_zscore,-0.013664356543126534,0.07980438804254068,-0.014460818546174852,-0.028308233373497176,0.04902852154224487,0.862939740025682,0.828,145,0.18504744412264273,0.9353331414384183,0.9095642701525054
A0A438HAK2,nardini_PPII_zscore,0.21666253167656857,0.06222457396406596,0.21986874833501105,0.15045593991133027,0.032940447299976486,0.00023204351833967527,0.001,276,0.14336149924750743,0.0030715234138120177,0.008824561403508771
A0A438HAK2,nardini_K Patch_zscore,-0.0669474206136132,0.1499405134170374,-0.0708967487764465,-0.03901189856075696,0.04896427878816556,0.621041334825776,0.656,51,0.1007714241163935,0.7968974270851156,0.8087450980392157
A0A438HAK2,cider_kappa,0.1474602405430024,0.09162619640576944,0.14708878349842194,0.31726256691433674,0.17664969600990524,0.11836393840820586,0.078,114,0.16216041045125926,0.308482181447293,0.2335357142857143
A0A438HAK2,cider_omega,-0.19111860417185045,0.06687698275550688,-0.19551811741434613,-0.35442138316057337,0.20925236327012842,0.007014189691481721,0.004,189,0.14671905557456152,0.042001635890658404,0.024839506172839507
A0A438HAK2,cider_delta,0.16273680843266386,0.08932982214328866,0.16580669048924507,1.5628137180541584,0.9943431578912604,0.06460748093338287,0.064,125,0.16400751075009626,0.20699084655727124,0.20769032258064518
A0A438HAK2,cider_mean_net_charge,0.11162996693899532,0.16419736714771013,0.11892358047581632,0.4100802952846075,1.1100299537983085,0.4589557138714462,0.514,41,0.2646243095807437,0.6734879553013446,0.7199667128987518
