,construct,Ef_cell,Ef_cell_std,Ef_cyto,Ef_cyto_std,Ef_nuc,Ef_nuc_std,Ef_cell_delta,Ef_cell_delta_std,Ef_cyto_delta,Ef_cyto_delta_std,Ef_nuc_delta,Ef_nuc_delta_std,directA_N/C_Q9,directA_N/C_Q9_std,directA_N/C_after_Q9,directA_N/C_after_Q9_std,directA_N/C_delta_Q9,directA_N/C_delta_Q9_std,n_wells,n_cells,Ef_invitro_mean_basal_c,Ef_invitro_std_basal_c,Ef_invitro_mean_crowded_c,Ef_invitro_std_crowded_c,Ef_invitro_mean_basal_b,Ef_invitro_std_basal_b
31,4,0.25596917038117467,0.006667037474164232,0.2560970702131749,0.005879441421021228,0.25635936712980445,0.007140501093230051,0.0027813098335411003,0.008361709347589782,0.0057697107011744145,0.008771658112117872,-0.0004355565426122299,0.010231539325987107,1.254570178249172,0.07373208239279559,1.3040133029140006,0.07322882769679658,0.05670185460014926,0.012815336617133011,10.0,603.0,0.395987,0.000705,0.4442545,0.000594677,0.410667333,0.003272421
32,40,0.12853051288332668,0.010759849562637432,0.13045460823503935,0.010612080251794428,0.12602482059121586,0.01010250186211165,0.03762501831761246,0.012710759884812278,0.04161901767958774,0.013296917599801762,0.026130956930177168,0.008984476299065448,1.0067217418564538,0.07285073209755806,1.0762789278205682,0.07943752396776584,0.07448072911492151,0.017115701535583054,5.0,421.0,,,,,,
33,41,0.08757678541148303,0.0037134803598611083,0.08882255773766572,0.004268971559358429,0.08603328416896142,0.004755412135203363,0.04535249992625605,0.013501920012931027,0.04597153037341545,0.014331855199673477,0.039026987419674836,0.010873095622136923,1.2063059499271236,0.033070221231524526,1.337775991951759,0.0464794653513289,0.10788647205628497,0.015933262799734272,4.0,225.0,,,,,,
34,42,0.09349828282363437,0.0033580731372452443,0.09361570151120858,0.002144658293944168,0.09047271365583784,0.0026499831187299897,0.05660617304496306,0.0036122132028891117,0.0615656205682932,0.0023355765929021946,0.0454687930126282,0.0020709487413849577,1.0285574183570723,0.039322800067720855,1.110086195990107,0.053123931844729,0.07645708844703632,0.01612627591740426,4.0,382.0,,,,,,
35,5,0.14995053703526584,0.003998472594752179,0.14998652974739252,0.004698593182855974,0.14906500458641367,0.004601995441768212,0.04685792956833149,0.009968280480114977,0.04895651587013463,0.009458598373656809,0.03949356364943894,0.008373582990797174,1.1814328093635253,0.030036436538948025,1.247741396956587,0.03566397599215112,0.06188867315493656,0.01786834051774052,7.0,713.0,0.275483,0.00037,0.34929,0.00463862,0.3006735,0.007419464
36,6,0.17498915725507266,0.006481655922729928,0.17602223898626992,0.005993346148411401,0.1730359275237987,0.007112070331802226,0.02327032184349846,0.014995939708717605,0.025072309776586157,0.016538540742050332,0.01548400065662669,0.01030351821487741,1.1149315468158034,0.05481665417992843,1.1873891643803376,0.07902482480649624,0.06003828994872435,0.01899099232069269,6.0,408.0,0.321339,0.000815,0.4189015,0.00752998,0.36296,0.004268
37,7,0.2351704677737006,0.006777884817378208,0.23474948487127703,0.00618285037654988,0.23643351156886458,0.005358912492275361,-0.023601861309251043,0.00725008148069621,-0.020238153791808315,0.008262916039862726,-0.028158978426175412,0.006275390416976009,1.2607079093484082,0.04247465682448191,1.3425174025112327,0.053762365430784054,0.07399246962219537,0.013441657385727727,7.0,678.0,,,,,,
38,8,0.2276734538645481,0.007827187830238294,0.2256932315407374,0.008847891140577971,0.22559312327644201,0.008613282860394042,-0.013871857847540737,0.004601044535981974,-0.0121625398085651,0.005116228998462251,-0.017714480795324478,0.0026678331456764237,1.146642744844562,0.03739351427824948,1.2117445545881,0.03884594066802864,0.06274037693532115,0.013792256891306856,4.0,314.0,0.340954,0.000776,0.4313355,0.004605386,0.35814275,0.008213865
39,9,0.22979310148765286,0.011323778471271782,0.225527093256608,0.014432328972136721,0.22384639149147548,0.011921704376840836,-0.03946140031298235,0.006630715287094257,-0.04150222204305366,0.006378030742025075,-0.03953564287054069,0.006797082612163981,1.1815996901677337,0.09522765354160159,1.2164835530114726,0.07359936164672463,0.038448180341551376,0.02790494090761382,11.0,768.0,,,,,,
40,GS0,0.4154984984324344,0.0054294251207014,,,,,,,,,,,,,,,,,,,,,,,0.5637355,0.005429873
41,GS16,0.2939326811617214,0.0079993801420845,,,,,,,,,,,,,,,,,,,,,,,0.426213667,0.011718561
42,GS24,0.2591177678135632,0.009569449332194,,,,,,,,,,,,,,,,,,,,,,,0.414862667,0.009844029
43,GS32,0.2293325002068438,0.0062206091194947,,,,,,,,,,,,,,,,,,,,,,,0.375829333,0.031557363
44,GS48,0.16762942828953,0.0070361986054364,,,,,,,,,,,,,,,,,,,,,,,0.290061333,0.02763924
45,GS64,0.1309307593361928,0.0117154336965317,,,,,,,,,,,,,,,,,,,,,,,0.214409,0.002764788
46,GS8,0.323718905561871,0.0036309717098966,,,,,,,,,,,,,,,,,,,,,,,0.505053333,0.015830522
